window,accuracy
17700:17800,0.46521739130434775
37900:38000,0.46521739130434775
6200:6300,0.4608695652173914
23400:23500,0.4608695652173914
40200:40300,0.4608695652173914
600:700,0.4608695652173913
8100:8200,0.4608695652173913
16100:16200,0.4608695652173913
20500:20600,0.4608695652173913
22200:22300,0.4608695652173913
23500:23600,0.4608695652173913
30900:31000,0.4608695652173913
35900:36000,0.4608695652173913
25800:25900,0.4608695652173912
9900:10000,0.45652173913043487
11100:11200,0.45652173913043487
14600:14700,0.45652173913043487
17000:17100,0.45652173913043487
200:300,0.45652173913043476
9600:9700,0.45652173913043476
11800:11900,0.45652173913043476
13900:14000,0.45652173913043476
18400:18500,0.45652173913043476
20400:20500,0.45652173913043476
27000:27100,0.45652173913043476
37400:37500,0.45652173913043476
29500:29600,0.4565217391304347
35700:35800,0.4565217391304347
4000:4100,0.4521739130434783
13600:13700,0.4521739130434783
14800:14900,0.4521739130434783
19700:19800,0.4521739130434783
20600:20700,0.4521739130434783
27600:27700,0.4521739130434783
33800:33900,0.4521739130434783
3600:3700,0.4521739130434782
6000:6100,0.4521739130434782
7300:7400,0.4521739130434782
9400:9500,0.4521739130434782
10800:10900,0.4521739130434782
12400:12500,0.4521739130434782
16800:16900,0.4521739130434782
27900:28000,0.4521739130434782
33900:34000,0.4521739130434782
38800:38900,0.4521739130434782
39400:39500,0.4521739130434782
2000:2100,0.44782608695652176
12000:12100,0.44782608695652176
13400:13500,0.44782608695652176
15600:15700,0.44782608695652176
15700:15800,0.44782608695652176
19300:19400,0.44782608695652176
19500:19600,0.44782608695652176
20700:20800,0.44782608695652176
26700:26800,0.44782608695652176
33500:33600,0.44782608695652176
38000:38100,0.44782608695652176
38900:39000,0.44782608695652176
7200:7300,0.4478260869565217
18000:18100,0.4478260869565217
24400:24500,0.4478260869565217
34000:34100,0.4478260869565217
35500:35600,0.4478260869565217
16500:16600,0.4434782608695653
3500:3600,0.4434782608695652
7800:7900,0.4434782608695652
10200:10300,0.4434782608695652
18800:18900,0.4434782608695652
21900:22000,0.4434782608695652
24500:24600,0.4434782608695652
33400:33500,0.4434782608695652
40100:40200,0.4434782608695652
6300:6400,0.44347826086956516
21000:21100,0.44347826086956516
33700:33800,0.44347826086956516
35100:35200,0.44347826086956516
40000:40100,0.44347826086956516
4100:4200,0.4391304347826087
5500:5600,0.4391304347826087
6500:6600,0.4391304347826087
11900:12000,0.4391304347826087
13300:13400,0.4391304347826087
14900:15000,0.4391304347826087
15900:16000,0.4391304347826087
18600:18700,0.4391304347826087
34500:34600,0.4391304347826087
5100:5200,0.4391304347826086
3900:4000,0.4347826086956522
7700:7800,0.4347826086956522
23100:23200,0.4347826086956522
6100:6200,0.43478260869565216
9500:9600,0.43478260869565216
10100:10200,0.43478260869565216
34400:34500,0.43478260869565216
36000:36100,0.43478260869565216
39200:39300,0.43478260869565216
40700:40800,0.43478260869565216
20000:20100,0.4304347826086957
22300:22400,0.4304347826086957
26000:26100,0.4304347826086957
34200:34300,0.4304347826086957
38300:38400,0.4304347826086957
0:100,0.4304347826086956
3800:3900,0.4304347826086956
5000:5100,0.4304347826086956
34600:34700,0.4304347826086956
100:200,0.42608695652173917
14200:14300,0.42608695652173917
16600:16700,0.42608695652173917
30200:30300,0.42608695652173917
35300:35400,0.42608695652173917
38500:38600,0.42608695652173917
13700:13800,0.42608695652173906
18100:18200,0.42608695652173906
25600:25700,0.42608695652173906
2300:2400,0.4217391304347826
6800:6900,0.4217391304347826
11500:11600,0.4217391304347826
16900:17000,0.4217391304347826
22700:22800,0.4217391304347826
25300:25400,0.4217391304347826
25400:25500,0.4217391304347826
27500:27600,0.4217391304347826
33200:33300,0.4217391304347826
34800:34900,0.4217391304347826
38400:38500,0.4217391304347826
25100:25200,0.4217391304347825
10000:10100,0.4173913043478262
33300:33400,0.41739130434782606
35800:35900,0.41739130434782606
40300:40400,0.41739130434782606
20100:20200,0.4130434782608696
22100:22200,0.4130434782608696
25000:25100,0.4130434782608696
30300:30400,0.4130434782608696
19800:19900,0.4130434782608695
25200:25300,0.4130434782608695
33000:33100,0.4130434782608695
34100:34200,0.4130434782608695
